route_id,agency_id,route_short_name,route_long_name,route_type,transport_type,circular,urban,night
305,orgp,1,"А.С. ""НАЛИЧНАЯ УЛ."" - НОВОСИБИРСКАЯ УЛ.",3,bus,0,1,0
306,orgp,6,"А.С. ""НАЛИЧНАЯ УЛ."" - ПЛ.СТАЧЕК",3,bus,0,1,0
328,orgp,171,"АС""УЛ.ШАВРОВА"" - АО ""ОДК-КЛИМОВ""",3,bus,0,1,0
335,orgp,143,"АВТОБУСНАЯ СТАНЦИЯ ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - СТ. МЕТРО ""ПОЛИТЕХНИЧЕСКАЯ""",3,bus,0,1,0
338,orgp,69,"ПРИДОРОЖНАЯ АЛЛЕЯ - СТ. МЕТРО ""ПОЛИТЕХНИЧЕСКАЯ""",3,bus,0,1,0
344,orgp,154,"СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" - КАМЫШОВАЯ УЛ.",3,bus,0,1,0
366,orgp,36,АС ЗВЁЗДНАЯ УЛ. - СТ. М. БУХАРЕСТСКАЯ,3,bus,0,1,0
369,orgp,48,"ТРОИЦКОЕ ПОЛЕ - СТ.МЕТРО ""ОБУХОВО""",3,bus,0,1,0
371,orgp,58,ХРУСТАЛЬНАЯ УЛ.-АТАМАНСКАЯ УЛ. ,3,bus,0,1,0
325,orgp,40,"КОЛОМЯГИ, АВТОБУСНЫЙ ПАРК -  СУЗДАЛЬСКИЙ ПР.",3,bus,0,1,0
327,orgp,398,ПОС. ПАРГОЛОВО - СЕВЕРНОЕ КЛАДБИЩЕ,3,bus,0,1,0
331,orgp,127,"КОЛОМЯГИ, АВТОБУСНЫЙ ПАРК - АРЦЕУЛОВСКАЯ АЛЛЕЯ",3,bus,0,1,0
332,orgp,86,"АС ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - ФИНЛЯНДСКИЙ ВОКЗАЛ",3,bus,0,1,0
334,orgp,172,РЕПИЩЕВА УЛ. - ШУВАЛОВСКИЙ ПР.,3,bus,0,1,0
337,orgp,93,"АС ""Лахтинский разлив""- пр.Культуры""",3,bus,0,1,0
347,orgp,21,"АС ""БЕЛОРУССКАЯ УЛ."" - СТ.М. ""ЛАДОЖСКАЯ""",3,bus,0,1,0
384,orgp,140,"СТ. МОСКОВСКАЯ-СОРТИРОВОЧНАЯ - УЛ. КОЛЛОНТАЙ, 47",3,bus,0,1,0
386,orgp,92,"СТ.МЕТРО ""ЛАДОЖСКАЯ""- УЛ. ХИМИКОВ",3,bus,0,1,0
284,orgp,435,"АВТОБУСНАЯ СТАНЦИЯ ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - ПОС. ЕЛИЗАВЕТИНКА",3,bus,0,0,0
333,orgp,134,АФОНСКАЯ УЛ. - ПРИМОРСКИЙ ПР.,3,bus,0,1,0
345,orgp,7,"А.С. ""НАЛИЧНАЯ УЛ."" - МОСКОВСКИЙ ВОКЗАЛ",3,bus,0,1,0
346,orgp,8,"УТКИНА ЗАВОДЬ - СТ.МЕТРО ""ПЛ. АЛЕКСАНДРА НЕВСКОГО""",3,bus,0,1,0
348,orgp,19,  УЛ. ПОДВОЙСКОГО - МОЛОКОЗАВОД,3,bus,0,1,0
364,orgp,74,МАЛАЯ БАЛКАНСКАЯ УЛ. - СМОЛЬНЫЙ,3,bus,0,1,0
365,orgp,23,"БЕЛОРУССКАЯ УЛ. - НОВО-КОВАЛЕВО, 3 ЛИНИЯ",3,bus,0,1,0
367,orgp,29,"КАРБЮРАТОРНЫЙ ЗАВОД - СТ. МЕТРО ""МОСКОВСКИЕ ВОРОТА""",3,bus,0,1,0
389,orgp,476,"С.-ПЕТЕРБУРГ, СТ. МЕТРО ""ЛОМОНОСОВСКАЯ"" - ПОСЕЛОК СВЕРДЛОВА",3,bus,0,0,0
424,orgp,397,"АВТОБУСНАЯ СТАНЦИЯ ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - ПОС. ПАРГОЛОВО, СПК ""ПРИГОРОДНЫЙ""",3,bus,0,1,0
4436,orgp,К-174,"г. Пушкин, Славянка - м.КУПЧИНО",3,bus,0,1,0
4442,orgp,К-4 МЕГА,"Станция метро  ""Ломоносовская"" ул.  Полярников, напротив д. 17- ТК ""МЕГА Дыбенко",3,bus,0,1,0
4455,orgp,52,"УЛ.БУРЦЕВА - СТАНЦИЯ МЕТРО ""ПРОСПЕКТ ВЕТЕРАНОВ""",3,bus,0,1,0
4456,orgp,46Б,"А.С. ""КРЕСТОВСКИЙ ОСТРОВ"" - ПЛ. АЛЕКСАНДРА НЕВСКОГО",3,bus,0,1,0
4480,orgp,80Х,АС Жени Егоровой - ж/д ст. Пискарёвка,3,bus,0,1,1
4485,orgp,142Х,Счастливая ул. - ул. Доблести,3,bus,0,1,1
4577,orgp,51А,УЛ. ГРИБАКИНЫХ- ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ № 1,3,bus,0,1,0
4596,orgp,000,проекты Стрекаловской Галины,3,bus,1,1,0
4637,orgp,Ц 2,ИСААКИЕВСКАЯ ПЛОЩАДЬ - ШПАЛЕРНАЯ УЛ.,3,bus,1,0,1
